orig,archive,company,college,confidence,dest,note,md5
/home/sauron-hobbbit/Downloads/Extras/Amazon OA IITR.pdf,LOOSE,Amazon,IIT Roorkee,filename,Amazon/IIT Roorkee/Amazon OA IITR.pdf,Classified from filename only (no company folder in path),8d43a59469b977d9d6cac1cf9a11186d
/home/sauron-hobbbit/Downloads/Extras/Amazon_OA.pdf,LOOSE,Amazon,,filename,Amazon/Amazon_OA.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",b02eb76cc505f3dc1f7118971848457c
/home/sauron-hobbbit/Downloads/OA_Organized/_tmp_extracted/Company-wise_Question_2026/Company-wise Question 2026/Amazon /Set 2/Amazon_OA.pdf,Company-wise_Question_2026,Amazon,,duplicate-dropped,Amazon/Amazon_OA.pdf,EXACT DUPLICATE of /home/sauron-hobbbit/Downloads/Extras/Amazon_OA.pdf - dropped,b02eb76cc505f3dc1f7118971848457c
/home/sauron-hobbbit/Downloads/Extras/Axxela.pdf,LOOSE,Axxela,,filename,Axxela/Axxela.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",5dfc97a52ff7a23cc9daac57707e1f8d
/home/sauron-hobbbit/Downloads/OA_Organized/_tmp_extracted/Company-wise_Question_2026/Company-wise Question 2026/Axxela/Axxela.pdf,Company-wise_Question_2026,Axxela,,path,Axxela/Axxela_2.pdf,Collision with different file at Axxela/Axxela.pdf -> renamed,056e69b2dbdde059717b35df5f425a09
/home/sauron-hobbbit/Downloads/Extras/DP WORLD OA.pdf,LOOSE,DP World,,filename,DP World/DP WORLD OA.pdf,Classified from filename only (no company folder in path),0f9c6f868ab3953fd25b01361eaa4be1
/home/sauron-hobbbit/Downloads/Extras/Google OA solutions.pdf,LOOSE,Google,,filename,Google/Google OA solutions.pdf,Classified from filename only (no company folder in path),9496a69b45f2eb686cfad7f9dbe1004d
/home/sauron-hobbbit/Downloads/Extras/Mathworks_2.pdf,LOOSE,MathWorks,,filename,MathWorks/Mathworks_2.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",ca4e70ad7386ae1f98ae709db4a66f6f
/home/sauron-hobbbit/Downloads/Extras/Meesho.pdf,LOOSE,Meesho,,filename,Meesho/Meesho.pdf,Classified from filename only (no company folder in path),18264e49dfef1d7a820860604662bff9
/home/sauron-hobbbit/Downloads/OA_Organized/_tmp_extracted/Company-wise_Question_2026/Company-wise Question 2026/Meesho /Meesho.pdf,Company-wise_Question_2026,Meesho,,duplicate-dropped,Meesho/Meesho.pdf,EXACT DUPLICATE of /home/sauron-hobbbit/Downloads/Extras/Meesho.pdf - dropped,18264e49dfef1d7a820860604662bff9
/home/sauron-hobbbit/Downloads/Extras/N.Ex.T qns (1).pdf,LOOSE,N.Ex.T,,filename,N.Ex.T/N.Ex.T qns (1).pdf,Classified from filename only (no company folder in path),0937edff6ac5a972683a9d219aa4a7b5
/home/sauron-hobbbit/Downloads/Extras/N.Ex.T round 2 assessment-1.pdf,LOOSE,N.Ex.T,,filename,N.Ex.T/N.Ex.T round 2 assessment-1.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",c82c0c836f40f7c80f02e0ce5ce83036
/home/sauron-hobbbit/Downloads/Extras/Netra1.pdf,LOOSE,Netra,,filename,Netra/Netra1.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",af042d6fc6021b8c3224d8583f411cc5
/home/sauron-hobbbit/Downloads/Extras/Netskope coding questions 2025 (1).pdf,LOOSE,Netskope,,filename,Netskope/Netskope coding questions 2025 (1).pdf,Classified from filename only (no company folder in path),31fe3d08eec7839c9afc173824740d1c
/home/sauron-hobbbit/Downloads/Extras/Nquestions.pdf,LOOSE,,,unsorted,Unsorted/Nquestions.pdf,No company signal in path/filename,b766777127251ecb784aa1f1b73a5988
/home/sauron-hobbbit/Downloads/Extras/Nvidia interview Experience.pdf,LOOSE,Nvidia,,filename,Nvidia/Nvidia interview Experience.pdf,Classified from filename only (no company folder in path),e6dee9772b463acbef8bd617ab92c8bb
/home/sauron-hobbbit/Downloads/Extras/Nvidia_system.pdf,LOOSE,Nvidia,,filename,Nvidia/Nvidia_system.pdf,Classified from filename only (no company folder in path),d8e5f29d1d1410ca269c4e8e2cfcfb4c
/home/sauron-hobbbit/Downloads/Extras/OracleSolutions.pdf,LOOSE,Oracle,,filename,Oracle/OracleSolutions.pdf,Classified from filename only (no company folder in path),659bb9f69fd839ccf259e626b629b526
/home/sauron-hobbbit/Downloads/Extras/PhonePeOA_DenaPossibleNahi.pdf,LOOSE,PhonePe,,filename,PhonePe/PhonePeOA_DenaPossibleNahi.pdf,"Classified from filename only (no company folder in path); PDF appears scanned/image-only with no extractable text - no college could be verified from content, filename-based classification only",1453875b15f3e6073add74702d165039
/home/sauron-hobbbit/Downloads/Extras/PhonePeOA_NahiDeSakte.pdf,LOOSE,PhonePe,,filename,PhonePe/PhonePeOA_NahiDeSakte.pdf,Classified from filename only (no company folder in path),89bb8671b38869591e61acb868c7ba37
